Date,Open,High,Low,Close,Volume
28-Oct-16,130.50,132.97,129.93,131.29,24545547
27-Oct-16,131.74,131.80,129.27,129.69,16741393
26-Oct-16,131.64,132.26,130.94,131.04,13084731
25-Oct-16,133.50,133.50,132.22,132.29,13336787
24-Oct-16,132.72,133.40,132.15,133.28,17470227
21-Oct-16,129.78,132.13,129.70,132.07,19088794
20-Oct-16,130.07,130.66,129.50,130.00,13167503
19-Oct-16,128.74,130.47,128.60,130.11,16752321
18-Oct-16,128.68,129.39,128.01,128.57,13503967
17-Oct-16,128.20,128.47,127.32,127.54,11351681
14-Oct-16,128.49,128.95,127.58,127.88,13345292
13-Oct-16,128.21,128.25,126.75,127.82,17139306
12-Oct-16,129.01,129.66,128.46,129.05,11072991
11-Oct-16,130.23,130.64,128.23,128.88,17537928
10-Oct-16,129.68,130.70,129.20,130.24,15138720
7-Oct-16,129.04,129.25,128.33,128.99,12804420
6-Oct-16,128.43,129.06,128.08,128.74,11682729
5-Oct-16,128.25,128.80,127.83,128.47,12386753
4-Oct-16,129.17,129.28,127.55,128.19,14307548
3-Oct-16,128.38,129.09,127.80,128.77,13156943
30-Sep-16,128.03,128.59,127.45,128.27,18402945
29-Sep-16,129.18,129.29,127.55,128.09,14532241
28-Sep-16,129.21,129.47,128.40,129.23,12047636
27-Sep-16,127.61,129.01,127.43,128.69,15637111
26-Sep-16,127.37,128.16,126.80,127.31,15064940
23-Sep-16,127.56,128.60,127.30,127.96,28326266
22-Sep-16,130.50,130.73,129.56,130.08,15538307
21-Sep-16,129.13,130.00,128.39,129.94,14068336
20-Sep-16,128.65,129.17,128.03,128.64,11083808
19-Sep-16,129.91,129.94,128.26,128.65,14958794
16-Sep-16,128.20,129.18,128.20,129.07,24119174
15-Sep-16,127.98,129.10,127.67,128.35,15111838
14-Sep-16,126.89,128.80,126.89,127.77,15720388
13-Sep-16,128.03,128.35,126.66,127.21,18016152
12-Sep-16,125.96,128.76,125.75,128.69,21252752
9-Sep-16,129.71,129.95,127.10,127.10,27100679
8-Sep-16,130.92,131.08,129.81,130.27,15676595
7-Sep-16,130.04,131.98,129.95,131.05,27990796
6-Sep-16,126.67,129.94,126.47,129.73,26278407
2-Sep-16,126.85,126.86,126.00,126.51,12118773
1-Sep-16,126.38,126.63,125.60,126.17,13536125
31-Aug-16,125.60,126.22,125.10,126.12,14200636
30-Aug-16,126.60,126.60,125.15,125.84,17804286
29-Aug-16,124.35,126.73,124.35,126.54,15925900
